Year,Month,Day,Percentage
1994,1,1,0.005264024
1994,1,2,0.0044922307
1994,1,3,0.015418192
1994,1,4,0.15560883
1994,1,5,0.047656137
1994,1,6,0.054167558
1994,1,7,0.087549746
1994,1,8,0.09567632
1994,1,9,0.0111127915
1994,1,10,0.018481802
1994,1,11,0.013738404
1994,1,12,0.07870959
1994,1,13,0.022400796
1994,1,14,0.015043491
1994,1,15,0.012041467
1994,1,16,0.047875203
1994,1,17,0.17112681
1994,1,18,0.1170595
1994,1,19,0.07063008
1994,1,20,0.031078743
1994,1,21,0.013328556
1994,1,22,0.0094816685
1994,1,23,0.011328681
1994,1,24,0.018600408
1994,1,25,0.040263698
1994,1,26,0.059510086
1994,1,27,0.11583039
1994,1,28,0.06977409
1994,1,29,0.04325964
1994,1,30,0.0252993
1994,1,31,0.0102292765
1994,2,1,0.006602769
1994,2,2,0.005858686
1994,2,3,0.0072479066
1994,2,4,0.0046669496
1994,2,5,0.0067785922
1994,2,6,0.0058994847
1994,2,7,0.015078578
1994,2,8,0.21349353
1994,2,9,0.14133333
1994,2,10,0.08757021
1994,2,11,0.25621402
1994,2,12,0.07435979
1994,2,13,0.027512591
1994,2,14,0.009377424
1994,2,15,0.0030128923
1994,2,16,0.0035617012
1994,2,17,0.003942829
1994,2,18,0.002096436
1994,2,19,0.0050330292
1994,2,20,0.004260408
1994,2,21,0.025163492
1994,2,22,0.024210675
1994,2,23,0.122278176
1994,2,24,0.033354577
1994,2,25,0.091018476
1994,2,26,0.022637328
1994,2,27,0.004113072
1994,2,28,0.008550603
1994,3,1,0.01582458
1994,3,2,0.06069771
1994,3,3,0.09013712
1994,3,4,0.007495097
1994,3,5,0.0048189024
1994,3,6,0.0033592116
1994,3,7,0.016730199
1994,3,8,0.015844306
1994,3,9,0.026369167
1994,3,10,0.015785813
1994,3,11,0.004080786
1994,3,12,0.0032517808
1994,3,13,0.00403019
1994,3,14,0.0031176389
1994,3,15,0.0030919334
1994,3,16,0.0040889876
1994,3,17,0.008432056
1994,3,18,0.020275466
1994,3,19,0.0053969496
1994,3,20,0.001618242
1994,3,21,0.0041000694
1994,3,22,0.00662343
1994,3,23,0.0027679745
1994,3,24,0.005014626
1994,3,25,0.0032026735
1994,3,26,0.003599374
1994,3,27,0.006958324
1994,3,28,0.009745232
1994,3,29,0.005116858
1994,3,30,0.0034470872
1994,3,31,0.0019327673
1994,4,1,0.0020645517
1994,4,2,0.0024150827
1994,4,3,0.0050501353
1994,4,4,0.0035414207
1994,4,5,0.006275713
1994,4,6,0.00949986
1994,4,7,0.00539531
1994,4,8,0.0017185675
1994,4,9,0.001390928
1994,4,10,0.002799882
1994,4,11,0.009873258
1994,4,12,0.0066452157
1994,4,13,0.025467128
1994,4,14,0.004741319
1994,4,15,0.00861217
1994,4,16,0.0050603347
