Year,Week,OutgoingPenalty,IngoingPenalty,Airport,Penalty 
2000,35,0.0,0.0,STX,0.0 
1994,3,0.0,0.0,GJT,0.0 
2008,16,0.0,0.0,PSE,0.0 
2008,45,0.0,0.0,GTR,0.0 
1996,22,0.0,0.0,KOA,0.0 
1999,2,0.0,0.0,KOA,0.0 
1994,8,0.0,0.0,BET,0.0 
2002,3,0.0,0.0,CAK,0.0 
1998,37,0.0,0.0,LIH,0.0 
1997,5,0.0,0.0,GUC,0.0 
2002,14,0.0,0.0,DRO,0.0 
2003,40,0.0,0.0,LIH,0.0 
2003,35,0.0,0.0,MOT,0.0 
2003,31,0.0,0.0,OXR,0.0 
2004,49,0.0,0.0,HVN,0.0 
1994,42,0.0,0.0,EVV,0.0 
2008,45,0.0,0.0,TYR,0.0 
1995,20,0.0,0.0,KOA,0.0 
2007,40,0.0,0.0,LCH,0.0 
2007,48,0.0,0.0,ADK,0.0 
2005,52,0.0,0.0,DRO,0.0 
2007,2,0.0,0.0,FLO,0.0 
1999,17,0.0,0.0,FAY,0.0 
2005,41,0.0,0.0,TXK,0.0 
1994,16,0.0,0.0,AVL,0.0 
1994,12,0.0,0.0,HTS,0.0 
2000,39,0.0,0.0,KOA,0.0 
2000,1,0.0,0.0,LIH,0.0 
2003,11,0.0,0.0,IPL,0.0 
2000,2,0.0,0.0,MTJ,0.0 
2006,7,0.0,0.0,FLG,0.0 
1995,10,0.0,0.0,TWF,0.0 
1995,27,0.0,0.0,CSG,0.0 
1996,43,0.0,0.0,ITH,0.0 
2008,47,0.0,0.0,TYR,0.0 
1994,26,0.0,0.0,MOT,0.0 
1997,44,0.0,0.0,MLI,0.0 
2007,41,0.0,0.0,BGM,0.0 
1997,38,0.0,0.0,STX,0.0 
1997,9,0.0,0.0,KOA,0.0 
2002,2,0.0,0.0,GPT,0.0 
1994,25,0.0,0.0,TVC,0.0 
2005,17,0.0,0.0,RST,0.0 
1999,44,0.0,0.0,FAT,0.0 
1994,48,0.0,0.0,KOA,0.0 
1997,12,0.0,0.0,ISP,0.0 
2007,27,0.0,0.0,CWA,0.0 
2003,13,0.0,0.0,CDC,0.0 
2006,23,0.0,0.0,HTS,0.0 
2001,47,0.0,0.0,ERI,0.0 
2004,33,0.0,0.0,ACY,0.0 
2004,39,0.0,0.0,BQN,0.0 
1995,4,0.0,0.0,BRO,0.0 
1999,9,0.0,0.0,DRO,0.0 
2003,27,0.0,0.0,BFL,0.0 
2001,28,0.0,0.0,MQT,0.0 
2008,2,0.0,0.0,ACY,0.0 
1994,23,0.0,0.0,TVC,0.0 
2002,24,0.0,0.0,AVP,0.0 
2009,1,0.0,0.0,OAJ,0.0 
2004,53,0.0,0.0,APF,0.0 
2006,14,0.0,0.0,STX,0.0 
2003,32,0.0,0.0,CEC,0.0 
2006,2,0.0,0.0,BTM,0.0 
2002,30,0.0,0.0,AVL,0.0 
2008,45,0.0,0.0,BRO,0.0 
1994,20,0.0,0.0,BRO,0.0 
1996,37,0.0,0.0,MOT,0.0 
2004,49,0.0,0.0,ERI,0.0 
2004,21,0.0,0.0,YUM,0.0 
2008,42,0.0,0.0,GFK,0.0 
2000,21,0.0,0.0,LIH,0.0 
2001,44,0.0,0.0,FAT,0.0 
2002,32,5.0,3.0,VPS,8.0 
2004,14,3.0,5.0,FAR,8.0 
2008,41,5.0,3.0,BRW,8.0 
2008,29,4.0,4.0,SUN,8.0 
1994,27,3.0,5.0,ROA,8.0 
1995,50,5.0,3.0,RAP,8.0 
1996,31,4.0,4.0,MFR,8.0 
1997,14,4.0,4.0,LAN,8.0 
1998,21,6.0,2.0,CRP,8.0 
1998,33,2.0,6.0,MLB,8.0 
1998,35,4.0,4.0,ROA,8.0 
1999,25,5.0,3.0,CDV,8.0 
2000,46,4.0,4.0,VPS,8.0 
2001,19,5.0,3.0,CLL,8.0 
2001,11,4.0,4.0,CMI,8.0 
2001,33,5.0,3.0,MFR,8.0 
2002,22,5.0,3.0,LRD,8.0 
2003,14,4.0,4.0,FAY,8.0 
2004,22,5.0,3.0,ILM,8.0 
2005,35,4.0,4.0,MBS,8.0 
2006,3,5.0,3.0,SBN,8.0 
2007,28,5.0,3.0,EWN,8.0 
2007,17,5.0,3.0,MLB,8.0 
2008,46,6.0,2.0,LAN,8.0 
1995,35,5.0,3.0,BRW,8.0 
1998,1,5.0,3.0,AVL,8.0 
1998,25,5.0,3.0,BRW,8.0 
1998,15,5.0,3.0,GTF,8.0 
1999,40,4.0,4.0,BTV,8.0 
2000,52,4.0,4.0,SBN,8.0 
2003,6,4.0,4.0,DLH,8.0 
2003,9,4.0,4.0,LAW,8.0 
2003,24,4.0,4.0,VLD,8.0 
2006,21,3.0,5.0,ABI,8.0 
2006,36,5.0,3.0,FCA,8.0 
2007,35,5.0,3.0,CLD,8.0 
1994,37,2.0,6.0,AVP,8.0 
1994,7,6.0,2.0,MRY,8.0 
1995,29,5.0,3.0,AKN,8.0 
2002,37,5.0,3.0,LEX,8.0 
2003,33,5.0,3.0,WRG,8.0 
2004,47,6.0,2.0,CIC,8.0 
2006,50,6.0,2.0,BET,8.0 
2008,19,5.0,3.0,GCC,8.0 
1994,18,4.0,4.0,EUG,8.0 
1994,29,5.0,3.0,HVN,8.0 
1994,51,4.0,4.0,MBS,8.0 
1994,37,4.0,4.0,MYR,8.0 
1995,13,5.0,3.0,PSG,8.0 
1996,31,4.0,4.0,SBA,8.0 
1997,51,4.0,4.0,GTF,8.0 
2000,1,3.0,5.0,RST,8.0 
2000,35,5.0,3.0,WRG,8.0 
2003,50,5.0,3.0,YAK,8.0 
2004,4,4.0,4.0,ROA,8.0 
2007,19,5.0,3.0,TOL,8.0 
2008,49,4.0,4.0,CSG,8.0 
