Airport,OutgoingPenalty,IngoingPenalty,Penalty
DRO,2,0.5,2.5
MTJ,3,4.5,7.5
COD,4,5.0,9.0
ACK,6,3.5,9.5
PSE,8,5.0,13.0
GST,8,5.5,13.5
ANI,11,6.5,17.5
BTM,6,18.5,24.5
KSM,22,9.5,31.5
SUX,20,11.5,31.5
CPR,26,17.5,43.5
GJT,24,23.0,47.0
LFT,23,25.0,48.0
DLG,48,20.5,68.5
ACY,49,29.5,78.5
GUC,49,31.5,80.5
DUT,59,22.5,81.5
AKN,49,38.0,87.0
VPS,32,55.5,87.5
ADQ,78,32.5,110.5
TVC,71,46.0,117.0
BRO,68,52.5,120.5
KOA,74,47.0,121.0
FNT,63,60.0,123.0
PIA,64,60.0,124.0
MOT,68,56.5,124.5
SCC,82,43.0,125.0
LSE,49,78.0,127.0
RAP,51,76.0,127.0
CDV,80,58.0,138.0
HDN,90,60.5,150.5
BRW,110,44.0,154.0
GFK,83,71.5,154.5
WRG,108,51.5,159.5
BFL,105,59.5,164.5
ITH,95,72.0,167.0
YAK,112,55.5,167.5
PSG,107,61.5,168.5
OAJ,91,79.5,170.5
FCA,91,81.0,172.0
BET,112,60.5,172.5
BIS,80,95.0,175.0
STX,100,79.0,179.0
HTS,110,70.0,180.0
CSG,130,54.0,184.0
HLN,117,69.5,186.5
EGE,113,74.5,187.5
IDA,109,83.0,192.0
EVV,106,91.0,197.0
CAK,110,100.5,210.5
OME,131,84.0,215.0
ELM,131,84.0,215.0
HVN,163,55.0,218.0
DLH,123,97.5,220.5
PSC,126,101.5,227.5
PHF,111,118.0,229.0
OTZ,162,69.0,231.0
BQN,166,75.0,241.0
GNV,157,89.5,246.5
MRY,166,81.0,247.0
BGM,182,109.5,291.5
FAR,157,148.5,305.5
LAN,147,169.0,316.0
GTF,177,145.0,322.0
SGF,188,135.5,323.5
ERI,185,139.5,324.5
MSO,204,127.5,331.5
FAY,158,180.0,338.0
MFR,238,108.5,346.5
GRB,192,156.5,348.5
