Year,Week,OutgoingPenalty,IngoingPenalty,Airport,Penalty
1995,41,1,0.5,AKN,1.5
1998,12,1,0.5,ADQ,1.5
1998,48,1,0.5,OTZ,1.5
1998,9,1,0.5,WRG,1.5
1999,34,1,0.5,FAT,1.5
2000,27,1,0.5,CAK,1.5
2002,7,1,0.5,GUC,1.5
2004,18,1,0.5,ACY,1.5
2004,24,1,0.5,DLG,1.5
2004,37,1,0.5,SCC,1.5
2007,2,1,0.5,HTS,1.5
2008,45,1,0.5,GUC,1.5
1994,38,1,0.5,AKN,1.5
1994,36,1,0.5,STX,1.5
1995,18,1,0.5,ADQ,1.5
1995,47,1,0.5,ADQ,1.5
1998,46,1,0.5,SCC,1.5
1999,13,1,0.5,AKN,1.5
2000,44,1,0.5,TRI,1.5
2001,52,1,0.5,DLG,1.5
2001,38,1,0.5,SCC,1.5
2002,15,1,0.5,EGE,1.5
2003,45,1,0.5,YAK,1.5
2003,27,1,0.5,YUM,1.5
2004,14,1,0.5,STX,1.5
2005,18,1,0.5,MBS,1.5
2006,6,1,0.5,DLG,1.5
2008,46,1,0.5,BTM,1.5
2008,16,1,0.5,CDC,1.5
2008,27,1,0.5,IPL,1.5
1995,37,1,0.5,BQN,1.5
1995,16,1,0.5,BRO,1.5
1995,34,1,0.5,LSE,1.5
1997,31,1,0.5,BFL,1.5
1997,19,1,0.5,MLU,1.5
1998,9,1,0.5,YAK,1.5
2001,16,1,0.5,VPS,1.5
2004,12,1,0.5,ADK,1.5
2005,14,1,0.5,SMX,1.5
2006,9,1,0.5,PSE,1.5
2007,17,1,0.5,BTM,1.5
2007,20,1,0.5,GFK,1.5
2008,36,1,0.5,MOD,1.5
1994,51,1,0.5,IDA,1.5
1995,21,1,0.5,ADQ,1.5
1995,33,1,0.5,HLN,1.5
1997,42,1,0.5,ELM,1.5
2000,11,1,0.5,DLG,1.5
2001,39,1,0.5,BET,1.5
2001,49,1,0.5,GGG,1.5
2001,52,1,0.5,SCC,1.5
2002,10,1,0.5,GPT,1.5
2002,46,1,0.5,GTF,1.5
2003,20,1,0.5,AKN,1.5
2004,19,1,0.5,AKN,1.5
2004,43,1,0.5,BRO,1.5
2004,25,1,0.5,YAK,1.5
2005,14,1,0.5,SCE,1.5
2008,45,1,0.5,COD,1.5
1993,52,1,0.5,MSO,1.5
1995,24,1,0.5,HVN,1.5
1996,45,1,0.5,AKN,1.5
1998,53,1,0.5,DLG,1.5
1999,2,1,0.5,SCC,1.5
1999,47,1,0.5,TVC,1.5
2000,13,1,0.5,DLG,1.5
2001,40,1,0.5,GGG,1.5
2002,16,1,0.5,PSG,1.5
2006,25,1,0.5,BTM,1.5
2006,40,1,0.5,TYR,1.5
1995,2,1,0.5,STX,1.5
1996,31,1,0.5,ALO,1.5
1996,17,1,0.5,BRO,1.5
2000,17,1,0.5,DUT,1.5
2000,12,1,0.5,PSC,1.5
2000,34,1,0.5,SCC,1.5
2001,46,1,0.5,AKN,1.5
2001,31,1,0.5,BRO,1.5
2001,23,1,0.5,ERI,1.5
