Year,Origin,Dest,count(1)
1994,ABE,ATL,709
1994,ABE,BWI,484
1994,ABE,CLT,468
1994,ABE,DCA,224
1994,ABE,DTW,948
1994,ABE,LGA,58
1994,ABE,MDT,1494
1994,ABE,ORD,1278
1994,ABE,PIT,1433
1994,ABQ,AMA,693
1994,ABQ,ATL,360
1994,ABQ,CVG,353
1994,ABQ,DAL,2057
1994,ABQ,DEN,3838
1994,ABQ,DFW,4127
1994,ABQ,ELP,1809
1994,ABQ,IAH,1563
1994,ABQ,LAS,2077
1994,ABQ,LAX,2406
1994,ABQ,LBB,679
1994,ABQ,MAF,358
1994,ABQ,MCI,1009
1994,ABQ,MSP,740
1994,ABQ,ORD,1161
1994,ABQ,PHX,7197
1994,ABQ,PIT,594
1994,ABQ,SAN,1054
1994,ABQ,SFO,705
1994,ABQ,SLC,1066
1994,ABQ,STL,2295
1994,ABQ,TUS,55
1994,ACK,EWR,22
1994,ACY,PIT,620
1994,ADQ,ANC,423
1994,AGS,ATL,2119
1994,AGS,CLT,875
1994,AGS,SAV,351
1994,AKN,ANC,249
1994,AKN,DLG,151
1994,ALB,ATL,1053
1994,ALB,BUF,590
1994,ALB,BWI,351
1994,ALB,CLT,477
1994,ALB,CVG,699
1994,ALB,DCA,1077
1994,ALB,DTW,1307
1994,ALB,ORD,2800
1994,ALB,PHL,1410
1994,ALB,PIT,1547
1994,ALB,PVD,1
1994,ALB,PWM,710
1994,ALB,RDU,476
1994,ALB,SYR,1
1994,AMA,ABQ,697
1994,AMA,DAL,2362
1994,AMA,DFW,1069
1994,ANC,ADQ,422
1994,ANC,AKN,309
1994,ANC,ANI,20
1994,ANC,BET,826
1994,ANC,BFI,1
1994,ANC,BRW,51
1994,ANC,CDV,355
1994,ANC,DEN,90
1994,ANC,DLG,158
1994,ANC,DTW,105
1994,ANC,DUT,332
1994,ANC,FAI,3615
1994,ANC,JNU,941
1994,ANC,MSP,256
1994,ANC,OME,530
1994,ANC,ORD,181
1994,ANC,OTZ,458
1994,ANC,PDX,213
1994,ANC,SCC,450
1994,ANC,SEA,7036
1994,ANC,SFO,90
1994,ANC,SLC,707
1994,ANI,ANC,118
1994,ANI,KSM,20
1994,ATL,ABE,695
1994,ATL,ABQ,354
1994,ATL,AGS,2460
1994,ATL,ALB,1049
1994,ATL,AUS,1052
1994,ATL,AVL,1063
1994,ATL,AVP,712
1994,ATL,BDL,1411
1994,ATL,BHM,3381
1994,ATL,BNA,3164
1994,ATL,BOS,3245
1994,ATL,BTR,1055
1994,ATL,BUF,1053
1994,ATL,BWI,3411
1994,ATL,CAE,3198
1994,ATL,CHA,2462
1994,ATL,CHS,3309
1994,ATL,CLE,2659
1994,ATL,CLT,4826
1994,ATL,CMH,2080
1994,ATL,CSG,1024
1994,ATL,CVG,3194
1994,ATL,DAB,2218
1994,ATL,DAY,1430
1994,ATL,DCA,4362
1994,ATL,DEN,2742
1994,ATL,DFW,7456
1994,ATL,DTW,4525
1994,ATL,EWR,5671
1994,ATL,FLL,3239
1994,ATL,FWA,348
1994,ATL,GNV,1415
1994,ATL,GSO,4701
1994,ATL,GSP,2464
1994,ATL,GUC,85
1994,ATL,HNL,251
1994,ATL,HOU,1404
1994,ATL,HSV,2426
1994,ATL,IAD,2251
1994,ATL,IAH,4458
1994,ATL,ICT,703
1994,ATL,IND,1423
1994,ATL,JAN,1766
1994,ATL,JAX,3242
1994,ATL,JFK,2416
1994,ATL,LAS,731
1994,ATL,LAX,2458
1994,ATL,LEX,1410
1994,ATL,LGA,4327
1994,ATL,LIT,1416
1994,ATL,MCI,2118
1994,ATL,MCO,3963
1994,ATL,MDT,709
1994,ATL,MDW,415
1994,ATL,MEM,3855
1994,ATL,MGM,2127
1994,ATL,MIA,5457
1994,ATL,MKE,1075
1994,ATL,MLB,1408
1994,ATL,MLU,348
