Year,Origin,TaxiOut,TaxiIn
1995,ABE,52711.0,27061.0
1995,ABQ,362776.0,161532.0
1995,ACK,532.0,195.0
1995,ADQ,3988.0,1166.0
1995,AGS,21842.0,8990.0
1995,AKN,3412.0,1510.0
1995,ALB,109799.0,45840.0
1995,AMA,31493.0,15113.0
1995,ANC,214956.0,70283.0
1995,ANI,809.0,366.0
1995,ATL,4151459.0,1590867.0
1995,AUS,334716.0,121222.0
1995,AVL,24310.0,10057.0
1995,AVP,17184.0,8698.0
1995,AZO,18056.0,9394.0
1995,BDL,279169.0,109680.0
1995,BET,7112.0,2593.0
1995,BFL,4263.0,2764.0
1995,BGM,9011.0,4930.0
1995,BGR,14988.0,6995.0
1995,BHM,158622.0,55159.0
1995,BIL,35005.0,12889.0
1995,BIS,10548.0,5426.0
1995,BNA,444962.0,220096.0
1995,BOI,92259.0,36299.0
1995,BOS,1407724.0,615686.0
1995,BQN,9694.0,3329.0
1995,BRO,5338.0,2991.0
1995,BRW,7037.0,2762.0
1995,BTR,38952.0,18389.0
1995,BTV,26336.0,11648.0
1995,BUF,176601.0,63103.0
1995,BUR,294282.0,61809.0
1995,BWI,767683.0,295339.0
1995,BZN,19125.0,8651.0
1995,CAE,50089.0,22611.0
1995,CAK,8434.0,6082.0
1995,CDV,4342.0,2061.0
1995,CHA,28561.0,11962.0
1995,CHS,80228.0,41729.0
1995,CID,44186.0,21546.0
1995,CLE,862464.0,321126.0
1995,CLT,1781376.0,681026.0
1995,CMH,375751.0,151478.0
1995,COS,151301.0,67272.0
1995,CRP,30367.0,13714.0
1995,CRW,11892.0,5390.0
1995,CSG,8478.0,3219.0
1995,CVG,1044796.0,422012.0
1995,DAB,39409.0,14301.0
1995,DAL,344625.0,122494.0
1995,DAY,138763.0,65491.0
1995,DCA,1166414.0,439582.0
1995,DEN,1942904.0,867812.0
1995,DFW,4928615.0,2674310.0
1995,DLG,2537.0,993.0
1995,DLH,12924.0,6671.0
1995,DRO,1233.0,479.0
1995,DSM,80547.0,40191.0
1995,DTW,2563275.0,1266482.0
1995,DUT,2361.0,816.0
1995,EGE,11740.0,3458.0
1995,ELM,7559.0,4793.0
1995,ELP,229409.0,80054.0
1995,ERI,8157.0,4673.0
1995,EUG,19731.0,6416.0
1995,EVV,4177.0,2909.0
1995,EWR,2414882.0,798222.0
1995,FAI,44034.0,13335.0
1995,FAR,19724.0,10683.0
1995,FAT,20018.0,11121.0
1995,FAY,12025.0,8635.0
1995,FCA,9369.0,4209.0
1995,FLL,416560.0,130485.0
1995,FNT,1578.0,890.0
1995,FSD,41439.0,19813.0
1995,FWA,29787.0,13302.0
1995,GEG,122720.0,43515.0
1995,GFK,9208.0,5601.0
1995,GNV,10454.0,5075.0
1995,GRB,26826.0,10307.0
1995,GRR,87075.0,35732.0
1995,GSO,407509.0,139769.0
1995,GSP,72942.0,34510.0
1995,GST,810.0,304.0
