DistanceGroup,Origin,Out,In,Total
1,ABE,11180,12217,23397
1,ABI,19578,19656,39234
1,ABY,7773,7725,15498
1,ACK,337,354,691
1,ACT,20462,20526,40988
1,ACV,3060,3083,6143
1,AEX,7318,7320,14638
1,AGS,29472,29285,58757
1,AKN,1710,126,1836
1,ALB,14601,14611,29212
1,ALO,970,980,1950
1,ANC,5356,5250,10606
1,ANI,189,111,300
1,APF,342,339,681
1,ASE,9819,9837,19656
1,ATL,326930,318046,644976
1,ATW,7798,7806,15604
1,AUS,279907,282497,562404
1,AVL,29104,29239,58343
1,AVP,3916,3404,7320
1,AZO,30034,30108,60142
1,BDL,39979,41653,81632
1,BFL,11422,11419,22841
1,BGM,252,252,504
1,BGR,2728,2744,5472
1,BHM,61363,62568,123931
1,BIL,3131,3142,6273
1,BIS,1,1,2
1,BJI,187,188,375
1,BMI,11737,11777,23514
1,BNA,20908,20327,41235
1,BOS,211919,211662,423581
1,BPT,5141,5134,10275
1,BTM,175,181,356
1,BTR,8483,5316,13799
1,BTV,6222,5114,11336
1,BUF,26056,25489,51545
1,BUR,1,3,4
1,BWI,63061,61705,124766
1,BZN,2317,2306,4623
1,CAE,58517,58799,117316
1,CAK,10547,10542,21089
1,CDC,131,127,258
1,CDV,5250,5356,10606
1,CEC,3077,3056,6133
1,CHA,17192,17208,34400
1,CHO,2248,2262,4510
1,CHS,35135,35266,70401
1,CIC,7100,7107,14207
1,CID,37164,37603,74767
1,CLD,12935,12935,25870
1,CLE,60785,59306,120091
1,CLL,19533,19583,39116
1,CLT,258779,258756,517535
1,CMH,75518,74945,150463
1,CMI,16472,16515,32987
1,COD,1,3,4
1,COS,41178,42349,83527
1,CPR,88,88,176
1,CRP,34759,34732,69491
1,CRW,16511,16521,33032
1,CSG,11740,11761,23501
1,CVG,119686,122584,242270
1,CWA,436,440,876
1,DAB,151,165,316
1,DAL,108117,107840,215957
1,DAY,22930,24248,47178
1,DBQ,9671,9691,19362
1,DCA,57975,58683,116658
1,DEN,78747,77558,156305
1,DFW,322574,322797,645371
1,DHN,10196,10217,20413
1,DLG,126,1710,1836
1,DLH,18370,18386,36756
1,DSM,1019,529,1548
1,DTW,209845,208940,418785
1,EAU,66,65,131
1,EFD,2571,2565,5136
1,EGE,5782,5779,11561
1,ELM,2529,3959,6488
1,ERI,13458,13445,26903
1,EUG,9236,9247,18483
1,EVV,6115,6124,12239
1,EWR,98303,98557,196860
1,EYW,4275,4307,8582
1,FAR,1,1,2
1,FAT,20943,20226,41169
1,FAY,13223,13177,26400
1,FCA,6603,5004,11607
1,FLG,5206,5230,10436
1,FLL,97863,98935,196798
1,FLO,2,3,5
1,FNT,15610,15599,31209
1,FSD,28081,28089,56170
1,FWA,36764,36814,73578
1,GEG,2481,3017,5498
1,GGG,9498,9525,19023
1,GJT,3,4,7
1,GLH,2,2,4
1,GPT,4,2,6
1,GRB,21332,21418,42750
1,GRK,19522,19548,39070
1,GRR,85050,84784,169834
1,GSO,31742,30219,61961
1,GSP,55973,55958,111931
1,GST,1343,1345,2688
1,GTF,10402,10323,20725
1,GUC,3293,3295,6588
1,HDN,5942,5930,11872
1,HLN,2232,4439,6671
1,HNL,169773,172594,342367
1,HOU,145278,149278,294556
1,HPN,4323,3651,7974
1,HSV,42947,44713,87660
1,HTS,4496,4468,8964
1,IAD,48644,48058,96702
1,IAH,163832,161533,325365
1,ICT,66,62,128
1,IDA,20670,20691,41361
1,ILE,13314,13356,26670
1,ILM,27506,27509,55015
1,IND,93359,93361,186720
1,IPL,5571,5598,11169
1,ISP,8892,8930,17822
1,ITH,3959,2529,6488
1,ITO,3082,1671,4753
1,IYK,5889,5909,11798
1,JAC,1852,208,2060
1,JAN,8990,10348,19338
1,JAX,15023,14869,29892
1,JFK,76085,76074,152159
1,JNU,22667,22174,44841
1,KOA,48559,51369,99928
1,KTN,10772,10539,21311
1,LAN,34158,34248,68406
